        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:29:51
          14	           8	       1 / 1	 00:00:12,40	 00:00:11,24	 00:01:37,12	         DTM	800E04CF000800B310
           9	           7	       2 / 1	 00:00:13,07	 00:00:12,94	 00:01:37,67	    WK Power	80090512000700DE8C
          12	           8	       1 / 1	 00:00:11,62	 00:00:11,51	 00:01:38,00	  DYT Racing	800C0482000800B112
          18	           8	       1 / 1	 00:00:12,14	 00:00:11,86	 00:01:40,77	Brussels Scalex Team	801204B5000800FF8C
           5	           7	       2 / 1	 00:00:12,71	 00:00:12,62	 00:01:40,90	El Kapito Dents	800504EE000700B210
           2	           8	       1 / 1	 00:00:12,17	 00:00:11,50	 00:01:41,47	DSCA by SV Workz	800204B8000800CE8C
           6	           8	       1 / 1	 00:00:11,98	 00:00:11,87	 00:01:41,51	Global Racing	800604A6000800FF8C
           7	           8	       1 / 1	 00:00:11,30	 00:00:11,30	 00:01:43,02	International Racers	80070462000800FF12
          10	           8	       1 / 1	 00:00:11,83	 00:00:11,83	 00:01:43,37	Sports Carazing	800A0497000800808C
          19	           9	       0 / 0	 00:00:11,11	 00:00:11,11	 00:01:44,37	         H&B	8013044F000900FF10
          13	           9	       1 / 1	 00:00:11,33	 00:00:11,27	 00:01:46,09	Slotrace Friends	800D0465000900FF8C
           1	           9	       1 / 1	 00:00:11,21	 00:00:11,18	 00:01:46,85	        DSCA	80010459000900FF10
           8	           8	       2 / 1	 00:00:11,94	 00:00:11,93	 00:01:47,52	Hyper Monkeys	820804A2000800FF8C
          11	           8	       2 / 1	 00:00:12,05	 00:00:11,83	 00:01:47,87	PT Motorsport	800B04AC000800C58C
          16	           8	       2 / 1	 00:00:12,26	 00:00:12,14	 00:01:49,11	    DSCA 50+	801004C1000800C08C
           9	           8	       2 / 1	 00:00:12,34	 00:00:12,34	 00:01:49,94	    WK Power	800904C9000800D910
          12	           9	       1 / 1	 00:00:11,92	 00:00:11,51	 00:01:49,97	  DYT Racing	800C04A0000900C712
           3	           6	       4 / 2	 00:00:14,89	 00:00:14,89	 00:01:50,16	Happy Family	800305C6000600858C
          14	           9	       1 / 1	 00:00:11,91	 00:00:11,24	 00:01:52,38	         DTM	800E049F000900D510
          18	           9	       1 / 1	 00:00:11,84	 00:00:11,84	 00:01:52,44	Brussels Scalex Team	80120498000900BA8C
           5	           8	       2 / 1	 00:00:12,19	 00:00:12,19	 00:01:53,17	El Kapito Dents	800504BA000800B410
