        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	12:58:39
           9	          17	       1 / 1	 00:00:12.41	 00:00:08.80	 00:02:45.88	Hyper Monkeys	800904D0001200FF10
           1	          17	       1 / 1	 00:00:08.77	 00:00:08.65	 00:02:46.98	Sports Carazing	80010367001200FF12
           4	          17	       1 / 1	 00:00:09.22	 00:00:08.86	 00:02:47.61	El Kapito Dents	80040394001200FF10
           8	          18	       0 / 0	 00:00:08.80	 00:00:08.68	 00:02:48.84	      Exiles	8008036A001300FF8C
          11	          18	       1 / 1	 00:00:08.93	 00:00:08.78	 00:02:50.69	        DSCA	800B0377001300FF10
          10	          18	       1 / 1	 00:00:09.56	 00:00:09.11	 00:02:52.47	      Wolves	800A03B5001300FF12
          15	          18	       1 / 1	 00:00:09.05	 00:00:08.80	 00:02:53.42	   Garage 27	800F0383001300FF8A
           6	          17	       2 / 1	 00:00:08.72	 00:00:08.48	 00:02:54.21	Eurolink Racing	80060362001200FF8C
           9	          18	       1 / 1	 00:00:08.96	 00:00:08.80	 00:02:54.86	Hyper Monkeys	8009037A001300FF10
           1	          18	       1 / 1	 00:00:09.02	 00:00:08.65	 00:02:55.96	Sports Carazing	80010380001300FF12
           4	          18	       1 / 1	 00:00:09.20	 00:00:08.86	 00:02:56.58	El Kapito Dents	80040392001300FF10
           8	          19	       0 / 0	 00:00:09.07	 00:00:08.68	 00:02:57.82	      Exiles	80080385001400FF10
          11	          19	       1 / 1	 00:00:09.10	 00:00:08.78	 00:02:59.67	        DSCA	800B0388001400FF10
          10	          19	       1 / 1	 00:00:09.32	 00:00:09.11	 00:03:01.75	      Wolves	800A039E001400FF12
          15	          19	       1 / 1	 00:00:09.04	 00:00:08.80	 00:03:02.40	   Garage 27	800F0382001400FF8A
           6	          18	       2 / 1	 00:00:08.87	 00:00:08.48	 00:03:02.89	Eurolink Racing	80060371001300FF10
           9	          19	       1 / 1	 00:00:08.92	 00:00:08.80	 00:03:03.84	Hyper Monkeys	80090376001400FF8C
           1	          19	       1 / 1	 00:00:08.93	 00:00:08.65	 00:03:04.93	Sports Carazing	80010377001400FF12
           4	          19	       1 / 1	 00:00:09.35	 00:00:08.86	 00:03:06.16	El Kapito Dents	800403A0001400FF8C
           8	          20	       0 / 0	 00:00:08.84	 00:00:08.68	 00:03:06.80	      Exiles	8008036E001500FF8C
