        Car#	        Laps	 Gap 1st/prv	    Last lap	    Best lap	  Last event	   Team name	  DongleData	     Tainted	         Pit

START	08:49:58
           8	        2375	     40 / 40	 00:00:08.96	 00:00:08.12	 00:03:36.79	      Exiles	8008037A001700FF8C
          15	        2303	    112 / 44	 00:00:08.81	 00:00:08.57	 00:03:37.48	   Garage 27	800F036B001800FF10
          10	        2347	     68 / 29	 00:00:08.75	 00:00:08.27	 00:03:38.03	      Wolves	800A0365001100FF8C
           9	        2415	       0 / 0	 00:00:08.96	 00:00:07.90	 00:03:41.01	Hyper Monkeys	8009037A001700FF8C
           6	        2253	    163 / 50	 00:00:08.93	 00:00:08.24	 00:03:42.16	Eurolink Racing	80060377001700FF10
          11	        2303	     113 / 1	 00:00:08.66	 00:00:08.12	 00:03:43.13	        DSCA	800B035C001800FF8C
           4	        2198	    218 / 56	 00:00:08.60	 00:00:08.09	 00:03:44.53	El Kapito Dents	80040356001800FF8C
           8	        2376	     40 / 40	 00:00:08.57	 00:00:08.12	 00:03:45.47	      Exiles	80080353001800FF8C
          15	        2304	    112 / 44	 00:00:08.69	 00:00:08.57	 00:03:46.16	   Garage 27	800F035F001900FF10
          10	        2348	     68 / 29	 00:00:08.69	 00:00:08.27	 00:03:46.71	      Wolves	800A035F001200FF8C
           9	        2416	       0 / 0	 00:00:08.80	 00:00:07.90	 00:03:49.69	Hyper Monkeys	8009036A001800FF8C
           6	        2254	    163 / 50	 00:00:08.95	 00:00:08.24	 00:03:51.14	Eurolink Racing	80060379001800FF10
          11	        2304	     113 / 1	 00:00:08.57	 00:00:08.12	 00:03:51.51	        DSCA	800B0353001900FF8C
           4	        2199	    218 / 56	 00:00:08.74	 00:00:08.09	 00:03:53.21	El Kapito Dents	80040364001900FF10
          15	        2305	    112 / 44	 00:00:08.68	 00:00:08.57	 00:03:54.84	   Garage 27	800F035E001A00FF10
          10	        2349	     68 / 28	 00:00:08.62	 00:00:08.27	 00:03:55.39	      Wolves	800A0358001300FF8C
           9	        2417	       0 / 0	 00:00:09.05	 00:00:07.90	 00:03:58.67	Hyper Monkeys	80090383001900FF8C
           6	        2255	    163 / 50	 00:00:09.80	 00:00:08.24	 00:04:00.71	Eurolink Racing	800603CD001900FF8C
          11	        2305	     113 / 1	 00:00:09.41	 00:00:08.12	 00:04:01.08	        DSCA	800B03A6001A00FF10
           4	        2200	    218 / 56	 00:00:08.96	 00:00:08.09	 00:04:02.19	El Kapito Dents	8004037A001A00FF10
           8	        2377	     41 / 41	 00:00:16.63	 00:00:08.12	 00:04:02.23	      Exiles	80080673001900C010
          15	        2306	    112 / 44	 00:00:08.48	 00:00:08.48	 00:04:03.22	   Garage 27	800F034A001B00FF8A
          10	        2350	     68 / 28	 00:00:11.00	 00:00:08.27	 00:04:06.16	      Wolves	800A0444001400FF8C
           9	        2418	       0 / 0	 00:00:08.90	 00:00:07.90	 00:04:07.65	Hyper Monkeys	80090374001A00FF8C
           6	        2256	    163 / 50	 00:00:09.26	 00:00:08.24	 00:04:09.99	Eurolink Racing	80060398001A00FF8C
          11	        2306	     113 / 1	 00:00:09.19	 00:00:08.12	 00:04:10.06	        DSCA	800B0391001B00FF10
           4	        2201	    218 / 56	 00:00:08.90	 00:00:08.09	 00:04:10.87	El Kapito Dents	80040374001B00FF10
          15	        2307	    112 / 44	 00:00:08.69	 00:00:08.48	 00:04:11.90	   Garage 27	800F035F001C00FF8A
           8	        2378	     41 / 41	 00:00:10.97	 00:00:08.12	 00:04:13.00	      Exiles	80080441001A00FF10
          10	        2351	     68 / 28	 00:00:08.54	 00:00:08.27	 00:04:14.84	      Wolves	800A0350001500FF12
